Time,Depth,Pop size,Generations,Mutation rate,Reproduction number,Use multiprocessing
13.048562,1,16,1,1,4,true
6.2152468,1,16,1,1,4,false
22.5316065,1,64,1,1,4,true
197.1514805,1,128,30,10,4,true
63.6048282,2,16,1,1,4,true
419.0884947,4,16,1,1,4,true
647.1587911,4,16,1,1,4,true
949.3392551,4,16,1,1,4,true
827.1632544,4,16,1,1,4,true
11264.0222413,6,16,1,1,4,true
20297.3913915,5,16,1,1,4,true
4.3877344,1,8,1,1,2,true
1.2433591,1,8,1,1,2,All below are true
1.1415208,1,8,1,1,2,
10.7052945,1,8,1,1,2,
1.625003,1,8,1,1,2,
46.2862664,1,16,10,1,2,
60.0831426,1,16,10,1,2,
45.5155747,1,16,25,1,2,
31.1432511,1,16,10,1,2,
33.473032,1,16,25,1,2,
50.4233196,1,16,25,1,2,
347668.1356307,4,128,75,10,16,
35.44279,1,8,16,10,2,
38.0743853,1,32,10,10,4,
57028.1334643,4,128,10,10,16
